STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,COUNTERPART_AREA,Counterpart area,MEASURE,Measure,ACCOUNTING_ENTRY,Accounting entry,FS_ENTRY,Flow or stock entry,FREQ,Frequency of observation,UNIT_MEASURE,Unit of measure,ADJUSTMENT,Adjustment,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,G,Goods,C,Revenue,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q3,,529960,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,IN1,Primary income,B,Balance (revenue minus expenditure),T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2023-Q3,,16880,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,S,Services,C,Revenue,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q2,,272160,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,S,Services,C,Revenue,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q3,,279865,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,IN1,Primary income,B,Balance (revenue minus expenditure),T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q3,,-15496,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,S,Services,D,Expenditure,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q1,,194884,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,S,Services,D,Expenditure,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q2,,200213,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,S,Services,D,Expenditure,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q3,,206163,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,G,Goods,D,Expenditure,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2023-Q3,,773827,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,G,Goods,D,Expenditure,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2023-Q4,,778485,,A,Normal value,6,Millions,USD,US dollar,2,Two
